timestamp,fps,object_count,obstacle_detected,person_candidate_count,target_locked,lock_status,lost_frames,person_center_x,frame_center_x,distance_ratio,steering_percent,movement_command
2026-03-16 19:42:19,1.75,1,False,1,True,LOCKED (NEW),0,322,320,1.0042,0,MOVE BACKWARD
2026-03-16 19:42:20,2.39,1,False,1,True,LOCKED,0,323,320,1.0088,0,MOVE BACKWARD
2026-03-16 19:42:20,2.87,1,False,1,True,LOCKED,0,323,320,1.0109,0,MOVE BACKWARD
2026-03-16 19:42:21,2.72,1,False,1,True,LOCKED,0,322,320,1.0057,0,MOVE BACKWARD
2026-03-16 19:42:21,2.89,1,False,1,True,LOCKED,0,322,320,1.0036,0,MOVE BACKWARD
2026-03-16 19:42:21,3.08,1,False,1,True,LOCKED,0,322,320,1.0057,0,MOVE BACKWARD
2026-03-16 19:42:22,2.92,1,False,1,True,LOCKED,0,322,320,1.0099,0,MOVE BACKWARD
2026-03-16 19:42:22,2.68,1,False,1,True,LOCKED,0,327,320,0.9667,2,MOVE BACKWARD
2026-03-16 19:42:22,2.98,1,False,1,True,LOCKED,0,404,320,0.7282,26,MOVE BACKWARD
2026-03-16 19:42:23,2.98,1,False,1,True,LOCKED,0,322,320,1.0063,0,MOVE BACKWARD
2026-03-16 19:42:23,3.16,1,False,1,True,LOCKED,0,321,320,0.9942,0,MOVE BACKWARD
2026-03-16 19:42:23,3.16,1,False,1,True,LOCKED,0,321,320,0.9948,0,MOVE BACKWARD
2026-03-16 19:42:24,2.97,1,False,1,True,LOCKED,0,321,320,0.9989,0,MOVE BACKWARD
2026-03-16 19:42:24,3.03,1,False,1,True,LOCKED,0,322,320,1.0036,0,MOVE BACKWARD
2026-03-16 19:42:25,2.95,1,False,1,True,LOCKED,0,322,320,1.0015,0,MOVE BACKWARD
2026-03-16 19:42:25,1.98,1,False,1,True,LOCKED,0,321,320,1.0005,0,MOVE BACKWARD
2026-03-16 19:42:25,2.75,1,False,1,True,LOCKED,0,417,320,0.6892,30,MOVE BACKWARD
2026-03-16 19:42:26,2.56,1,False,1,True,LOCKED,0,406,320,0.7220,26,MOVE BACKWARD
2026-03-16 19:42:26,2.89,1,False,1,True,LOCKED,0,321,320,1.0005,0,MOVE BACKWARD
2026-03-16 19:42:27,2.36,2,False,2,True,LOCKED,0,351,320,0.8906,9,MOVE BACKWARD
2026-03-16 19:42:27,2.65,1,False,1,True,SEARCHING (1),1,323,320,0.3475,0,MOVE BACKWARD
2026-03-16 19:42:27,2.98,1,False,1,True,SEARCHING (2),2,323,320,0.3876,0,MOVE BACKWARD
2026-03-16 19:42:28,2.81,1,False,1,True,SEARCHING (3),3,451,320,0.2325,40,STEER RIGHT
2026-03-16 19:42:28,2.70,1,False,1,True,SEARCHING (4),4,455,320,0.2228,42,STEER RIGHT
2026-03-16 19:42:29,2.51,1,False,1,True,SEARCHING (5),5,441,320,0.2456,37,STEER RIGHT
2026-03-16 19:42:29,2.48,1,False,1,True,SEARCHING (6),6,320,320,0.3965,0,MOVE BACKWARD
2026-03-16 19:42:29,2.80,1,False,1,True,SEARCHING (7),7,446,320,0.2350,39,STEER RIGHT
2026-03-16 19:42:30,2.71,1,False,1,True,SEARCHING (8),8,452,320,0.2264,41,STEER RIGHT
2026-03-16 19:42:30,2.38,1,False,1,True,SEARCHING (9),9,453,320,0.2240,41,STEER RIGHT
2026-03-16 19:42:31,2.55,1,False,1,True,SEARCHING (10),10,453,320,0.2222,41,STEER RIGHT
2026-03-16 19:42:31,2.76,1,False,1,True,SEARCHING (11),11,452,320,0.2246,41,STEER RIGHT
2026-03-16 19:42:32,2.57,1,False,1,True,SEARCHING (12),12,322,320,0.3968,0,MOVE BACKWARD
2026-03-16 19:42:32,2.62,1,False,1,True,SEARCHING (13),13,324,320,0.3862,1,MOVE BACKWARD
2026-03-16 19:42:33,2.61,1,False,1,True,SEARCHING (14),14,335,320,0.3695,4,MOVE BACKWARD
2026-03-16 19:42:33,2.60,1,False,1,True,SEARCHING (15),15,319,320,0.3925,0,MOVE BACKWARD
2026-03-16 19:42:33,2.89,1,False,1,True,RE-LOCKED,0,322,320,0.3941,0,MOVE BACKWARD
2026-03-16 19:42:34,2.70,1,False,1,True,LOCKED,0,321,320,0.3872,0,MOVE BACKWARD
2026-03-16 19:42:34,2.74,1,False,1,True,LOCKED,0,319,320,0.3857,0,MOVE BACKWARD
2026-03-16 19:42:34,3.10,1,False,1,True,SEARCHING (1),1,357,320,0.8682,11,MOVE BACKWARD
2026-03-16 19:42:35,2.73,1,False,1,True,SEARCHING (2),2,383,320,0.7456,19,MOVE BACKWARD
2026-03-16 19:42:35,2.61,1,False,1,True,SEARCHING (3),3,322,320,0.9299,0,MOVE BACKWARD
2026-03-16 19:42:36,2.88,1,False,1,True,SEARCHING (4),4,386,320,0.7875,20,MOVE BACKWARD
2026-03-16 19:42:36,2.91,1,False,1,True,SEARCHING (5),5,382,320,0.7984,19,MOVE BACKWARD
2026-03-16 19:42:36,2.94,1,False,1,True,SEARCHING (6),6,363,320,0.8612,13,MOVE BACKWARD
2026-03-16 19:42:37,3.01,1,False,1,True,SEARCHING (7),7,346,320,0.9125,8,MOVE BACKWARD
2026-03-16 19:42:37,3.13,1,False,1,True,SEARCHING (8),8,321,320,0.9886,0,MOVE BACKWARD
2026-03-16 19:42:37,3.06,1,False,1,True,SEARCHING (9),9,320,320,1.0042,0,MOVE BACKWARD
2026-03-16 19:42:38,2.96,3,True,1,True,SEARCHING (10),10,-1,320,0.0000,0,AVOID
2026-03-16 19:42:38,2.59,1,False,1,True,SEARCHING (11),11,321,320,1.0047,0,MOVE BACKWARD
2026-03-16 19:42:39,2.96,1,False,1,True,SEARCHING (12),12,323,320,1.0010,0,MOVE BACKWARD
2026-03-16 19:42:39,2.94,1,False,1,True,SEARCHING (13),13,324,320,1.0083,1,MOVE BACKWARD
2026-03-16 19:42:39,2.61,1,False,1,True,SEARCHING (14),14,320,320,1.0016,0,MOVE BACKWARD
2026-03-16 19:42:40,2.88,2,False,1,True,SEARCHING (15),15,320,320,1.0016,0,MOVE BACKWARD
2026-03-16 19:42:40,2.72,1,False,1,True,RE-LOCKED,0,321,320,1.0010,0,MOVE BACKWARD
2026-03-16 19:42:40,2.96,1,False,1,True,LOCKED,0,321,320,1.0010,0,MOVE BACKWARD
2026-03-16 19:42:41,2.98,1,False,1,True,LOCKED,0,320,320,1.0057,0,MOVE BACKWARD
2026-03-16 19:42:41,2.99,1,False,1,True,LOCKED,0,321,320,1.0052,0,MOVE BACKWARD
2026-03-16 19:42:42,2.77,1,False,1,True,LOCKED,0,321,320,0.9989,0,MOVE BACKWARD
2026-03-16 19:42:42,3.06,1,False,1,True,LOCKED,0,321,320,0.9989,0,MOVE BACKWARD
2026-03-16 19:42:42,3.08,1,False,1,True,LOCKED,0,321,320,1.0010,0,MOVE BACKWARD
2026-03-16 19:42:43,2.97,1,False,1,True,LOCKED,0,321,320,1.0026,0,MOVE BACKWARD
2026-03-16 19:42:43,3.08,1,False,1,True,LOCKED,0,321,320,0.9969,0,MOVE BACKWARD
2026-03-16 19:42:43,2.62,1,False,1,True,LOCKED,0,320,320,0.9974,0,MOVE BACKWARD
2026-03-16 19:42:44,2.95,1,False,1,True,LOCKED,0,320,320,0.9932,0,MOVE BACKWARD
2026-03-16 19:42:44,3.05,1,False,1,True,LOCKED,0,322,320,0.9849,0,MOVE BACKWARD
2026-03-16 19:42:44,3.03,1,False,1,True,LOCKED,0,398,320,0.7249,24,MOVE BACKWARD
2026-03-16 19:42:45,2.70,1,False,1,True,LOCKED,0,443,320,0.5511,38,MOVE BACKWARD
